station_name,station_full_name,station_zone,station_address
AA,ATARIA,NER,"Sitapur Rd, Heerpur, Uttar Pradesh 261.."
AABH,AMBIKA BHAWANI HALT,ECR,"Chapra-Patna Highway, Rampur Ami, Biha.."
AADR,AMBANDAURA,NR,"Una, Himachal Pradesh, India"
AAG,ANGAR,CR,"Solapur, Maharashtra, India"
AAGH,ANTAGARH,SECR,"Antagarh, PIN - 494665, Dist. - Kanker.."
AAH,ITEHAR,NCR,"Itahar, West Bengal, India"
AAL,AMLAI,SECR,"Shahdol, Madhya Pradesh, India"
AAM,ANGADIPPURAM,SR,"Railway Station Road, Angadipuram, Ker.."
AAP,AMBIAPUR,NCR,"Amiyapur, Gujarat, India"
AAR,ADESAR,WR,"Adesar, Gujarat, India"
AAS,ASRANADA,NWR,"Jodhpur, Rajasthan, India"
AAY,ARALVAYMOZHI,SR,"Aralvaimozhi, Tamil Nadu, India"
AB,AMBUR,SR,"Vellore, Tamil Nadu, India"
ABB,ABADA,SER,"Dhulagori, Howrah, West Bengal 711313,.."
ABD,AMBLI ROAD,WR,"Ahmedabad, Gujarat, India"
ABE,AMBIKESHWAR,NCR,"Ankleshwar, Gujarat, India"
ABFC,AMBARI FALAKATA,NFR,"ABFC, Ambari, West Bengal, India"
ABGM,AMBALGRAM,ER,"Ambalgram, West Bengal 713140, India"
ABGT,ARABAGATTA H,SWR,"Arabagatte, Karnataka, India"
ABH,AMBARNATH,CR,"Maharashtra 421501, India"
ABI,AMBATURAI,SR,"Chinnalapatti, Tamil Nadu, India"
ABKA,AMBIKA KALNA,ER,"Kalna, West Bengal, India"
ABKP,AMBIKAPUR,SECR,"Ambikapur, Chhattisgarh, India"
ABLE,AMBALE,CR,"Ambale, Maharashtra 412104, India"
ABO,ASTHAL BOHAR JN,NR,"Asthal Bohar Junction, Rohtak, Haryana.."
ABP,AKBARPUR,NR,"Akbarpur, Uttar Pradesh, India"
ABR,ABU ROAD,NWR,"Abu Road, Rajasthan, India"
ABRV,AMBARI RICHHAVI,WR,"Ambari, Madhya Pradesh 457887, India"
ABS,ABOHAR,NR,"Abohar Railway Station, Abohar, Punjab.."
ABSA,AMBASA,NFR,"National Highway 44, Ambassa, Tripura,.."
ABU,AMBATTUR,SR,"GNG Street, Varadaraja Puram, Ambattur.."
ABW,ABUTARA H,NFR,India
ABX,AMBARI,SCR,"Ambari, West Bengal, India"
ABY,AMBIVLI,CR,"Ambivali, Ambivli, Maharashtra, India"
ACG,ACHEGAON,CR,"Achegaon, Maharashtra, India"
ACH,ACHALGANJ,NR,"Bithar, Uttar Pradesh, India"
ACK,ACHARAPAKKAM,SR,"Tamil Nadu, India"
ACL,ANCHELI,WR,"Navsari, Gujarat, India"
ACLE,AZIMGANJ CITY,ER,"Azimganj City Railway Station, Azimgan.."
ACN,ADHICHCHANUR,SR,"Achanur, Tamil Nadu, India"
ACND,A N DEV NAGAR,NR,"Amanigunj, Faizabad, Uttar Pradesh, In.."
ACPR,ARCHIPATHAR HALT,NFR,"Station Rd, No.1 Nalbari, Assam 787059.."
ACRN,ACHIRNE,KR,
ACU,ACHUARA H,ECR,"Hasan Chak, Bihar 803213, India"
AD,ADONI,SCR,"Adoni Railway Station, Adoni, Andhra P.."
ADB,ADILABAD,SCR,"Adilabad Railway Station, National Hig.."
ADD,ADAS ROAD,WR,"Anand, Gujarat, India"
ADE,ADARI ROAD,WR,"Rd, Uttar Pradesh, India"
ADF,ADINA,NFR,"Adina Railway Station, West Bengal, In.."
ADH,ANDHERI,WR,"Andheri, Mumbai, Maharashtra, India"
ADHL,ADIHALLI,SWR,"Kodihalli, Karnataka, India"
ADI,AHMEDABAD JN,WR,"Ahmedabad, Gujarat, India"
ADL,ANDUL,SER,"Andul, Howrah, West Bengal, India"
ADPT,ANDIPATTI,SR,"Andippatti, Tamil Nadu, India"
ADQ,ADHIKARI,NFR,"Adhikari Cottage, 253/4, Purulia, West.."
ADR,MANDI ADAMPUR,NWR,"Mandi Admapur Railway Station, Adampur.."
ADRA,ADRA JN,SER,"Adra, West Bengal, India"
ADST,ADI SAPTAGRAM,ER,"Hooghly, West Bengal, India"
ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu, India"
ADTL,ADHARTAL,WCR,"Jabalpur, Madhya Pradesh, India"
ADTP,ADITYAPUR,SER,"Jamshedpur, Jharkhand 831013, India"
ADVI,ADAVALI,KR,"Ratnagiri, Maharashtra, India"
ADX,ADAPUR,ECR,"Hospital Rd, Shampur, Bihar 845301, In.."
AED,AULENDA,NCR,"Agra, Uttar Pradesh, India"
AEH,ANANTPAITH,NCR,"Thiruvananthapuram, Kerala, India"
AEJ,ARNEJ,WR,"Arnej, Gujarat, India"
AEK,ANEKAL ROAD,SWR,"Alliance Central Campus, Karnataka, In.."
AEL,ATELI,NWR,"Haryana 123021, India"
AERH,AGRER HALT,ECR,"Agrer, Bihar, India"
AEX,ADDERI,SWR,"Kelaginamane, Karnataka 577431, India"
AF,AGRA FORT,NCR,"Dhuliagunj, Mantola, Agra, Uttar Prade.."
AFK,ANGAMALI,SR,"Angamali Railway Station, NH 47, Angam.."
AFR,ASAFPUR,NR,"Uttar Pradesh, India"
AG,ARANGHATA,ER,"Aranghata, West Bengal, India"
AGA,AGRA CITY,NCR,"Agra City Railway Station, Civil Lines.."
AGAE,AGRADWIP,ER,"Agradwip, West Bengal, India"
AGAS,AGAS,WR,"Anand, Gujarat, India"
AGB,AMBAGAON,ECOR,"Odisha, India"
AGC,AGRA CANTT,NCR,"Agra Cantonment Railway station, Idgah.."
AGCI,ANGADI,WR,"Angadi, GandhiNagar, Kudamaloor, Kotta.."
AGD,AGASOD,NCR,"Madhya Pradesh, India"
AGE,ANGAI H,NCR,"Angai, Uttar Pradesh, India"
AGI,AMGURI,NFR,"Assam 785683, India"
AGL,AMARGOL,SWR,"Hubli, Karnataka, India"
AGM,AGARAM SIBBANDI,SR,"Palliput [Then], Tamil Nadu, India"
AGMN,AGOMONI,NFR,"Agomoni, Assam, India"
AGN,AMGAON,SECR,"Risama, Amgaon, Maharashtra, India"
AGP,AGARPARA,ER,"Barrackpore, West Bengal, India"
AGQ,ASIRGARH ROAD,CR,"Nahargarh Rd, Pink City, Jaipur, Rajas.."
AGR,AMARGARH,WR,"Madhya Pradesh, India"
AGT,AGTHORI,NFR,"Namati Jalah, Assam, India"
AGTL,AGARTALA,NFR,"National Highway 44, Badharghat, Agart.."
AGTR,AGAUTHAR H,NER,"Mc Arthur St, Indio, CA 92201, USA"
AGV,ANGUA P H,SER,"Angua Railway Station, West Bengal 721.."
AGX,AGASTIYAMPALLI,SR,"614810, India"
AGY,AGORI KHAS,NCR,"Sonbhadra, Uttar Pradesh, India"
AGZ,AMAGURA,ECOR,"Bastar, Chhattisgarh, India"
AH,ACHHNERA JN,NCR,"Achhnera Junction, Achhnera, Uttar Pra.."
AHA,ABHAIPUR,ER,"Lakhisarai, Bihar, India"
AHD,AHERWADI,SWR,"Aherwadi, Maharashtra, India"
